Name,Purchase Date,Product,Price
BrOWN SARaH,01-26-2024,Camera,847
wiLLiAms LINda,2024/01/15,Phone,840.26 EURO
jones mIChael,01-23-2024,Phone,767 EURO
browN jOHn,09/01/2024,Headphones,914.9
wilLiaMS micHAEl,02-06-2024,Laptop,833
JonES JOHN,2024-02-23,Laptop,56 EURO
JOHNSON Linda,24/02/2024,Laptop,283
Smith mIchAeL,2024-03-03,Camera,980.9 EURO
wIlLIaMs liNda,2024-01-20,Phone,129.13 USD
sMITH lInDA,2024-01-23,Headphones,808.08
JoHNSOn LindA,2024/01/16,Phone,176.82
sMIth LindA,2024-02-17,Phone,761.14
broWn lINda,2024-01-10,Camera,571.87 EURO
wiLlIAmS sArAH,21/01/2024,Camera,377 EURO
BROwn SAraH,2024-02-08,Laptop,754
WillIams LiNdA,03-04-2024,Camera,426
SmitH JoHN,02-29-2024,Watch,609 EURO
wIllIaMS mIchAeL,2024/02/05,Headphones,121.26 USD
JOHNson kArEn,25/02/2024,Laptop,644.41 USD
williAMs kaREN,2024-02-26,Phone,209.53 USD
SmItH LINDa,2024/02/18,Laptop,72.91 EURO
BrOwN kaREN,11/02/2024,Watch,394 EURO
bROwN JoHn,01-18-2024,Laptop,313.48
joNes kaRen,2024/02/23,Camera,155.73 USD
Smith SAraH,2024-02-10,Watch,152
johNsON sARAH,2024-02-21,Phone,820 USD
smITH joHN,2024-02-06,Laptop,407.93
JoHnSON KAReN,01-31-2024,Headphones,82.2 USD
wilLiAms KAREn,2024-03-04,Laptop,458.21 EURO
WILLIaMS LiNDA,2024/02/15,Laptop,215.56
BroWN MICHaeL,2024/01/12,Watch,850
broWN JOHn,2024/01/23,Headphones,116.88 USD
JOnES jOHn,2024/02/21,Laptop,86 EURO
wIlLiAms sARaH,02-05-2024,Headphones,528.41
BrOWN miChAEl,2024-01-03,Headphones,883.58
jOnes KaRen,2024-02-21,Laptop,539
wILliams SarAh,2024-01-31,Camera,659
SMiTh saraH,02-06-2024,Phone,596 USD
Jones micHAeL,2024/02/14,Camera,674.42
bROwN LinDa,02-05-2024,Laptop,341.73 EURO
wilLiaMs liNDa,13/02/2024,Phone,921.93 EURO
smItH JOhN,01-28-2024,Watch,279.81
JoHNSON lINDA,2024/02/03,Phone,537 EURO
sMItH sAraH,03/03/2024,Phone,549 EURO
wILliams jOhN,2024-01-03,Phone,607 EURO
